Compound.ID,Normalized1.SSf,Normalized2.SSF,Normalized3.SSF,Norm.Max.SSF,RT.AVE.SSF,SD.SSF,SE.SSF
2032845,8.5,108.0,94.7,108.0,70.4,44.1,25.46665858
2415861,86.9,62.2,60.3,86.9,69.8,12.1,6.983215681
2547940,76.9,65.3,67.1,76.9,69.8,5.1,2.943682569
2414258,62.3,74.2,72.3,74.2,69.6,5.2,3.021392437
2332369,64.3,69.6,71.3,71.3,68.4,3.0,1.717055731
1934419,75.4,64.7,64.5,75.4,68.2,5.1,2.94406393
1895626,68.9,73.1,60.6,73.1,67.5,5.2,2.992381327
1936975,71.7,68.9,61.5,71.7,67.3,4.3,2.475952994
2547931,57.7,67.8,76.1,76.1,67.2,7.5,4.334105941
2909811,65.8,72.6,61.9,72.6,66.7,4.4,2.56258758
2500773,55.7,73.1,69.5,73.1,66.1,7.5,4.338690345
2500767,72.5,59.2,61.4,72.5,64.4,5.8,3.368641533
2514822,64.4,58.5,70.0,70.0,64.3,4.7,2.707821226
2540926,58.1,60.6,67.0,67.0,61.9,3.7,2.163075347
2502330,57.6,70.7,53.1,70.7,60.5,7.4,4.293293332
1980391,64.1,59.5,52.4,64.1,58.7,4.8,2.775297739
2432437,49.0,65.5,60.9,65.5,58.5,7.0,4.033585437
1021837,54.7,57.4,59.8,59.8,57.3,2.1,1.212270743
1894568,48.7,52.4,60.0,60.0,53.7,4.7,2.707302604
2500739,62.9,61.4,31.9,62.9,52.0,14.3,8.236183851
23558,42.1,50.1,63.1,63.1,51.8,8.7,5.004315858
2468787,49.3,60.8,45.2,60.8,51.8,6.6,3.821708197
2032840,41.1,53.5,56.3,56.3,50.3,6.6,3.82438058
2354140,25.5,62.2,62.6,62.6,50.1,17.4,10.04241697
1643925,48.9,46.8,44.9,48.9,46.9,1.6,0.921998361
1896030,46.7,51.7,41.0,51.7,46.5,4.4,2.51749773
1980014,38.4,45.3,49.4,49.4,44.4,4.6,2.626992779
2509148,39.0,53.2,39.7,53.2,44.0,6.5,3.760612161
601224,41.2,42.7,45.0,45.0,43.0,1.6,0.911408461
2382061,33.7,50.4,35.0,50.4,39.7,7.6,4.390977841
2323814,34.5,41.0,40.7,41.0,38.7,3.0,1.75265945
2499218,29.9,25.1,30.9,30.9,28.6,2.5,1.443663159
2374036,20.0,18.7,29.7,29.7,22.8,4.9,2.817453022
219103,15.1,23.3,19.6,23.3,19.3,3.3,1.922919242
1063001,19.3,18.0,18.3,19.3,18.5,0.6,0.32254833
1868201,13.9,14.1,18.7,18.7,15.6,2.2,1.278025774
